Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Load Shed,2012,12/6/2012,9:18 PM,12/6/2012,9:31 PM,California Department of Water Resources,"Greater San Jose, California",WECC,390,Unknown,load shedding
Physical Attack,2012,12/3/2012,12:02 PM,12/3/2012,12:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Ice and Snow,2012,12/2/2012,5:20 AM,12/4/2012,9:00 AM,Pacific Gas & Electric Co,Northern California,WECC,250,"125,000","severe weather, winter storm"
Vandalism,2012,11/27/2012,1:07 PM,11/27/2012,1:40 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Vandalism,2012,11/26/2012,3:07 PM,11/26/2012,3:08 PM,Delmarva Power & Light Company,"Georgetown, Delaware",RFC,N/A,N/A,"vandalism, physical"
Vandalism,2012,11/26/2012,12:37 PM,11/26/2012,12:38 PM,Delmarva Power & Light Company,"Frankfort, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2012,11/21/2012,2:50 PM,11/21/2012,2:51 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,N/A,N/A,"vandalism, physical"
Fuel Supply Emergency,2012,11/17/2012,10:00 AM,11/18/2012,10:00 AM,ERCOT,"Comanche Peak, Texas",TRE,"1,231",0,fuel supply emergency
Cyber Attack,2012,11/15/2012,9:09 PM,11/15/2012,9:26 PM,ITC Transmission,Iowa; Michigan,MRO,N/A,Unknown,"vandalism, cyber"
Vandalism,2012,11/15/2012,5:38 AM,11/15/2012,5:39 AM,ISO New England,Southeast Massachusetts,NPCC,0,0,"vandalism, physical"
Vandalism,2012,11/8/2012,9:34 AM,11/8/2012,9:35 AM,Delmarva Power & Light Company,"Bishopville, Maryland",RFC,0,0,"vandalism, physical"
Vandalism,2012,11/7/2012,2:21 PM,11/7/2012,2:48 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Vandalism,2012,11/2/2012,9:30 AM,11/2/2012,12:10 PM,ISO New England,"Concord, Vermont",NPCC,0,0,"vandalism, physical"
Severe Weather,2012,10/30/2012,2:00 AM,11/1/2012,10:00 PM,Detroit Edison Co,Greater Detroit Michigan,RFC,N/A,"133,777","severe weather, storm"
Vandalism,2012,10/30/2012,3:00 PM,10/30/2012,3:01 PM,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",WECC,N/A,Unknown,"vandalism, physical"
