date,load
2016/10/21,698.92
2016/10/22,714.76
2016/10/23,718.61
2016/10/24,701.52
2016/10/25,719.64
2016/10/26,728.24
2016/10/27,726.84
2016/10/28,747.25
2016/10/29,706.54
2016/10/30,698.22
2016/10/31,726
2016/11/1,684.45
2016/11/2,711.01
2016/11/3,714.29
2016/11/4,742.81
2016/11/5,739.96
2016/11/6,741.13
2016/11/7,746.43
2016/11/8,717.58
2016/11/9,718.63
2016/11/10,753.37
2016/11/11,767.71
2016/11/12,793.59
2016/11/13,758.2
2016/11/14,703.68
2016/11/15,
2016/11/16,744.52
2016/11/17,734.92
2016/11/18,754.05
2016/11/19,749.77
2016/11/20,743.39
2016/11/21,721.63
2016/11/22,
2016/11/23,741.52
2016/11/24,729.78
2016/11/25,767.54
2016/11/26,732.29
2016/11/27,727.9
2016/11/28,744.38
2016/11/29,728.98
2016/11/30,742.55
2016/12/1,737.97
2016/12/2,745.46
2016/12/3,732.33
2016/12/4,766.05
2016/12/5,764.01
2016/12/6,767.48
2016/12/7,762.7
2016/12/8,
2016/12/9,768.4
2016/12/10,766.58
2016/12/11,769.3
2016/12/12,750.19
2016/12/13,763.56
2016/12/14,764.26
2016/12/15,
2016/12/16,801.3
2016/12/17,
2016/12/18,800.7
2016/12/19,791.49
2016/12/20,788.08
2016/12/21,770.72
2016/12/22,782.66
2016/12/23,795.37
2016/12/24,803.64
2016/12/25,782.04
2016/12/26,791.73
2016/12/27,781.13
2016/12/28,814.39
2016/12/29,803.19
2016/12/30,
2016/12/31,810.67
