气体A浓度,气体B浓度,气体C浓度,气体D浓度,气体E浓度,状态类型
0,1.9,3.9,13,0,正常
1.1,6.4,14.8,18.5,6.19,放电兼过热
1.5,13.3,33.9,29.4,0.8,正常
1.91,10.46,1.7,2.7,40,放电兼过热
2.17,4.43,0.71,0.9,0.01,正常
3,1.9,1.9,1.2,0,正常
3.27,14.47,3.13,4.74,33.8,放电兼过热
4.079,20.83,6.992,67.589,0.51,过热
5,1.61,0.05,0.05,0.05,正常
5.2,8.4,6.6,19,18,放电
